-97.1566 -44.3934 184.707 
-114.834 -62.0711 194.707 
-93.6211 -83.2843 194.707 
-75.9434 -65.6066 184.707 
#

-97.1566 -44.3934 184.707 
-114.834 -62.0711 174.707 
-93.6211 -83.2843 174.707 
-75.9434 -65.6066 184.707 
#

-97.1566 -44.3934 184.707 
-79.479 -26.7157 174.707 
-58.2658 -47.9289 174.707 
-75.9434 -65.6066 184.707 
#

-97.1566 -44.3934 184.707 
-79.479 -26.7157 194.707 
-58.2658 -47.9289 194.707 
-75.9434 -65.6066 184.707 
#

-97.1566 -44.3934 184.707 
-114.834 -62.0711 194.707 
-93.6211 -83.2843 194.707 
-75.9434 -65.6066 184.707 
#

